"","Alive","Dead","MeanDecreaseAccuracy","MeanDecreaseGini"
"LAMC2",3.36923805816312,2.95408515944868,3.87567785719139,0.752374647642116
"DKK1",2.54761312832952,1.68555737057588,3.17134403437214,0.732655346688788
"ITGB6",1.26264431522865,0.00142410082870385,1.1314153321695,0.724324578392532
"GPRC5A",1.46907015977337,3.93671327108153,3.78139946525756,0.693745997779183
"MAL2",1.85811380771376,0.964326496468375,1.85265805025249,0.68966160406939
"LIPH",1.46365854854296,2.76835521934204,3.3120477999185,0.6426019818064
"GNMT",2.50745286618971,3.40648183975653,3.62480477498768,0.612106725550511
"PSCA",-0.244030433404097,1.4287656043612,1.05075659126578,0.607136703637318
"KLK11",-0.542954034797423,2.55668168557813,1.7422902812434,0.524200229473939
"KLK7",0.332353616614804,0.604658397936567,0.398912189926428,0.521633110215438
"UCA1",2.14532567965141,1.89621299848782,2.52215875461699,0.492902178241954
"FGFBP1",1.87366985064569,1.87037890108899,2.6036839136552,0.48933322578325
"TNNT1",0.154376677984021,0.706061175453235,0.550783501760652,0.473681079398441
"USP9Y",-0.792830871062054,2.93339253829532,1.69795244451185,0.471727731542607
"RPS4Y1",0.784645563727338,0.905906131972594,1.48123452481271,0.46842935636077
"S100P",2.40417108416077,-0.138194271107661,1.59736634254311,0.46645540047023
"DSG3",0.619306656045668,1.08116006484512,1.11435400481593,0.459896981334081
"AREG",1.30710683835463,1.81570862406118,2.31012455192016,0.442915210727854
"TRIM29",0.69328460666722,0.141076716001906,0.50915656703189,0.435193052853561
"LAMB3",0.159713623858538,1.5492628776269,1.24872131974356,0.423780764408588
