"","Feature","Gain","Cover","Frequency","Importance"
"1","MAL2",0.0686317319910431,0.0558384946708724,0.0276073619631902,0.0686317319910431
"2","LAMC2",0.0497689872706079,0.0435831705604511,0.00920245398773006,0.0497689872706079
"3","MARCO",0.0345722842989481,0.0341855394111656,0.00920245398773006,0.0345722842989481
"4","GNMT",0.033808916871381,0.0665297962538124,0.0276073619631902,0.033808916871381
"5","GPRC5A",0.0332192101727111,0.037689861932685,0.0306748466257669,0.0332192101727111
"6","APOA4",0.0325937151623112,0.0364340744706059,0.0214723926380368,0.0325937151623112
"7","PRKY",0.031994594810603,0.0226482955344564,0.0184049079754601,0.031994594810603
"8","UGT1A6",0.0311079715106065,0.0108691047616128,0.00613496932515337,0.0311079715106065
"9","KRT6B",0.0305594561265854,0.0055293951562937,0.00306748466257669,0.0305594561265854
"10","CCR7",0.02696340275012,0.0184503149213497,0.0122699386503067,0.02696340275012
"11","PPY",0.0251212336333637,0.0280552249151556,0.0245398773006135,0.0251212336333637
"12","EREG",0.0202510995078356,0.00961585021351115,0.00613496932515337,0.0202510995078356
"13","TMC5",0.0179988940771846,0.00403185063479749,0.00306748466257669,0.0179988940771846
"14","FGL1",0.0166782421813273,0.0042200385850027,0.00613496932515337,0.0166782421813273
"15","ONECUT1",0.01638495391237,0.00207352318361014,0.00306748466257669,0.01638495391237
"16","LAMB3",0.0155908630933526,0.00668135248052156,0.00306748466257669,0.0155908630933526
"17","AQP9",0.015575835794007,0.00732577431019345,0.00613496932515337,0.015575835794007
"18","MT1M",0.0147163033402236,0.00553537545232391,0.00613496932515337,0.0147163033402236
"19","ANXA13",0.0146566133231844,0.0097965202781638,0.0153374233128834,0.0146566133231844
"20","FGB",0.0130596805055686,0.0107983712492162,0.00306748466257669,0.0130596805055686
